time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.939,8334.2725,396.8701,9
30,16,208,0.9691,27108.0469,1290.8594,24
45,24,345,1.4384,79985.083,3808.8135,54
60,31,458,2.0318,149811.6211,7133.8867,70
75,38,580,2.4557,239516.8945,11405.5664,115
90,44,694,2.7298,328678.7109,15651.3672,168
105,51,816,3.0424,451828.3301,21515.6348,230
