time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,95,0.8513,781.5056,57.6169,4
30,16,218,1.0314,2236.2617,176.5108,16
45,24,350,0.9308,3358.7693,301.3611,28
60,31,460,1.4593,6390.3473,592.8317,45
75,38,591,1.4986,8059.9793,828.5368,78
90,44,726,2.2419,15835.9239,1563.7002,120
105,51,780,1.7859,12198.7895,1354.318,116
