time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.818,869.2077,65.5194,7
30,16,208,1.283,3134.6142,216.8073,16
45,24,343,1.4938,6786.6161,518.4643,47
60,31,465,1.8763,13142.9934,940.9887,62
75,38,582,2.1649,16388.993,1334.6143,111
90,44,691,2.3319,21416.6969,1734.7711,134
105,51,792,2.588,27604.0108,2250.6649,185
