time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.7508,2230.6447,92.5409,5
30,16,208,0.5456,4268.5219,213.9893,9
45,24,345,0.6168,7308.2354,375.3202,16
60,31,458,0.7705,7858.6159,445.2446,28
75,38,580,0.858,14952.321,796.4739,46
90,44,694,0.9014,24120.8244,1226.2214,58
105,51,816,0.9346,33989.446,1723.7853,90
