time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,95,0.8266,1012.5893,61.4335,4
30,16,218,1.0068,2139.1433,157.9388,14
45,24,350,0.9832,2997.3134,293.4639,22
60,31,460,1.4002,8427.5531,617.5969,40
75,38,591,1.5,7050.4638,809.7467,74
90,44,726,2.2919,13395.1015,1518.6034,117
105,51,780,1.7279,13406.0338,1333.9581,108
