time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.6399,4074.3633,186.4753,3
30,16,208,0.9356,4857.7087,276.1645,9
45,24,343,0.8968,22526.007,1043.8926,37
60,31,465,1.1175,35757.3172,1666.1994,51
75,38,582,1.3044,56864.8858,2735.0608,85
90,44,691,1.3191,69348.605,3335.2681,93
105,51,792,1.4358,103466.5395,4861.3592,125
