time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.8177,733.2218,51.7352,6
30,16,200,0.7131,1953.711,112.4522,6
45,24,342,1.1213,3859.821,325.8489,32
60,31,462,1.5497,8313.7326,661.1709,64
75,38,593,1.827,12882.0836,1022.9625,90
90,44,692,2.0431,19818.0616,1444.4319,116
105,51,817,2.3794,24807.5305,1999.5045,164
