time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.8974,803.8773,56.9688,7
30,16,208,0.6444,1214.3548,92.0778,11
45,24,345,0.7448,2071.593,190.9281,23
60,31,458,1.0418,3354.4201,331.6015,41
75,38,580,1.1899,6432.0996,551.5853,60
90,44,694,1.2917,6107.7979,704.7085,82
105,51,816,1.3375,8139.2072,932.534,106
