time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.9336,565.5977,52.1921,7
30,16,208,0.6573,1049.758,86.2871,11
45,24,345,0.7888,1954.4305,194.0171,23
60,31,458,1.044,3116.3341,327.2743,39
75,38,580,1.2012,5237.2256,523.452,60
90,44,694,1.2725,7235.4201,708.4209,79
105,51,816,1.3331,9084.3294,933.7117,112
