time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,95,0.8241,676.9563,54.5701,4
30,16,218,0.9318,2385.6114,161.5127,13
45,24,350,0.7403,5107.0117,290.2886,11
60,31,460,1.148,10528.6739,611.1864,21
75,38,591,0.9278,19020.727,984.3666,27
90,44,726,1.4463,36708.8892,1921.6608,46
105,51,780,1.0813,28049.662,1520.2636,38
