time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.7638,1090.5273,58.544,6
30,16,200,0.7033,1712.5808,109.7096,5
45,24,342,0.8765,6441.6095,347.1196,18
60,31,462,1.457,8472.3656,630.3677,51
75,38,593,1.65,13399.3985,979.5841,65
90,44,692,1.9892,14462.641,1332.2269,94
105,51,817,2.1384,26312.9784,1911.9479,134
