time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,84,0.6781,502.9643,38.9127,4
30,16,218,0.84,1445.7528,136.8987,18
45,24,347,1.1343,2516.7129,312.9772,41
60,31,462,1.4322,6299.5667,592.0842,61
75,38,585,1.6039,6125.8308,821.5777,91
90,44,707,2.0221,10082.5996,1286.245,122
105,51,816,2.2119,12800.8553,1670.2924,163
