time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,84,0.6324,1103.8355,65.5709,2
30,16,218,0.8003,2127.6913,155.2098,11
45,24,347,1.0482,3733.4192,334.8876,31
60,31,462,1.3131,7040.9187,597.5966,50
75,38,585,1.4916,9240.8929,855.2728,76
90,44,707,1.7514,13351.3595,1234.3905,102
105,51,816,1.9611,17067.18,1647.9275,138
