time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.7678,8222.6074,391.5527,7
30,16,208,1.3541,36364.4531,1731.6406,26
45,24,343,1.5938,90670.5762,4317.6465,57
60,31,465,2.0425,160397.7539,7637.9883,73
75,38,582,2.4879,255886.2305,12185.0586,136
90,44,691,2.6007,324615.9082,15457.9004,167
105,51,792,2.849,417337.4707,19873.2129,225
