time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.7456,1387.3111,83.1895,2
30,16,208,1.028,4380.9666,216.5204,6
45,24,343,0.8973,11928.8045,603.7754,12
60,31,465,1.1762,16518.5799,904.6207,14
75,38,582,1.2678,28464.7799,1458.3539,34
90,44,691,1.2105,38456.6344,1908.8165,33
105,51,792,1.2425,55089.4489,2745.5313,65
