time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.7995,1096.429,60.54,6
30,16,200,0.6726,2894.4765,144.8187,5
45,24,342,0.944,5161.4074,310.8837,23
60,31,462,1.3654,9265.7885,652.7499,48
75,38,593,1.6455,13610.1372,973.5171,71
90,44,692,1.7633,24400.2317,1425.9501,99
105,51,817,2.2285,23297.1335,1891.9183,143
