time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.8472,629.9544,50.2742,8
30,16,200,0.7584,1500.1189,111.2866,11
45,24,342,1.048,3195.6978,290.7628,38
60,31,462,1.4826,7310.7166,608.826,68
75,38,593,1.693,12277.5625,948.1389,89
90,44,692,1.966,16582.7885,1336.2499,119
105,51,817,2.2938,22072.3722,1883.9346,162
