time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.7085,2255.1081,91.3717,6
30,16,200,0.5813,5519.8566,261.8608,5
45,24,342,0.6718,9768.5166,455.1874,21
60,31,462,0.927,23992.7396,1135.8648,45
75,38,593,1.0788,34836.4041,1600.6032,70
90,44,692,1.2177,45316.3036,2074.9269,85
105,51,817,1.3595,77189.2766,3554.795,127
