time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,95,0.8655,960.469,62.6559,6
30,16,218,1.0843,1703.187,169.1118,21
45,24,350,1.0151,2598.1039,301.2458,36
60,31,460,1.5586,5847.3703,612.1318,52
75,38,591,1.5618,7324.2815,835.274,91
90,44,726,2.3197,13946.9347,1543.386,139
105,51,780,1.7442,12482.5977,1336.0394,127
