time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,84,0.6239,5021.543,239.1211,4
30,16,218,1.0872,34916.1914,1662.6758,31
45,24,347,1.5234,86746.6113,4130.791,55
60,31,462,2.0136,159315.5566,7586.4551,76
75,38,585,2.2513,235662.9639,11222.0459,130
90,44,707,2.7891,355937.3877,16949.3994,176
105,51,816,3.1578,479266.9629,22822.2363,230
