time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.7201,1411.4164,68.3708,6
30,16,200,0.6923,2241.7946,120.6022,4
45,24,342,0.7497,6099.7928,285.1257,10
60,31,462,0.9975,15093.1165,694.3525,25
75,38,593,1.1083,21414.8454,1039.2164,31
90,44,692,1.3183,27678.3304,1410.9187,35
105,51,817,1.3856,45812.3192,2264.0328,56
