time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.9126,751.8393,59.8433,9
30,16,208,0.6581,584.2763,76.0453,13
45,24,345,0.7352,1677.5258,171.4904,22
60,31,458,1.0305,2889.0169,313.5381,41
75,38,580,1.1491,3734.3651,460.3962,68
90,44,694,1.2377,5002.18,646.1914,89
105,51,816,1.2999,7119.594,871.767,119
