time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.7834,1321.9554,68.3214,6
30,16,208,1.3557,3048.1311,230.894,19
45,24,343,1.4968,7339.7021,526.6456,46
60,31,465,2.1865,7699.7373,929.8239,71
75,38,582,2.314,16452.859,1421.7384,115
90,44,691,2.4071,19317.0329,1734.4942,140
105,51,792,2.7163,20004.9765,2171.2145,199
