time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.7923,1466.7805,83.0878,2
30,16,208,1.1951,4382.3139,241.6577,11
45,24,343,1.3613,6825.7664,502.2262,36
60,31,465,1.7728,12489.7693,879.9513,57
75,38,582,2.0899,16971.5291,1349.0065,103
90,44,691,2.3152,20227.1837,1731.6027,123
105,51,792,2.4886,25688.6621,2154.6755,170
