time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.8284,1275.3092,69.97,5
30,16,208,0.6082,1913.1955,101.2871,8
45,24,345,0.6699,3176.2166,196.7149,12
60,31,458,0.9011,4273.9953,307.0762,28
75,38,580,1.0496,5757.2768,481.746,36
90,44,694,1.1358,7574.5385,654.1041,49
105,51,816,1.1852,11323.5794,889.6561,78
