time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,95,0.849,1490.1617,83.5859,4
30,16,218,1.0153,2141.7491,170.8416,19
45,24,350,1.0131,3102.7763,316.1287,34
60,31,460,1.5151,5962.6076,605.8862,55
75,38,591,1.5476,7044.1104,841.2155,86
90,44,726,2.351,13368.0282,1547.9176,132
105,51,780,1.7472,11706.5207,1319.1229,119
