time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.7284,1713.4131,82.8825,4
30,16,208,1.0945,3718.0258,201.3932,9
45,24,343,1.2335,7296.5146,497.1526,30
60,31,465,1.6159,11346.3586,815.0863,43
75,38,582,2.005,19778.5912,1367.4864,80
90,44,691,1.9779,31052.5804,1780.127,96
105,51,792,2.0437,35819.4037,2147.1114,132
