time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,84,0.6807,572.0371,40.5992,5
30,16,218,0.8211,1043.7115,124.0834,20
45,24,347,1.0559,2592.7039,296.5457,45
60,31,462,1.3923,4310.2758,536.1293,62
75,38,585,1.5185,6116.648,790.0501,88
90,44,707,1.8379,10032.4962,1187.8874,116
105,51,816,2.1001,12345.7232,1592.8095,161
