time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.8144,809.2176,62.1718,8
30,16,208,1.2943,2599.9901,233.0004,24
45,24,343,1.5438,4923.648,491.814,52
60,31,465,1.9539,8629.039,842.9159,70
75,38,582,2.2825,14647.7669,1340.6561,123
90,44,691,2.3749,17675.0893,1685.5655,152
105,51,792,2.6615,21455.9671,2161.1725,212
