time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.8472,571.9558,52.5916,6
30,16,208,0.6321,1369.3656,92.6525,7
45,24,345,0.7369,2836.6057,211.0139,16
60,31,458,1.004,4460.523,347.9598,34
75,38,580,1.1837,5598.5653,525.9959,52
90,44,694,1.2138,9429.1889,739.748,66
105,51,816,1.2962,9789.1118,955.5885,100
