time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.761,1557.6424,79.0304,4
30,16,208,1.1856,3192.4356,215.1624,10
45,24,343,1.2928,8036.4234,506.6245,37
60,31,465,1.6521,12718.9615,866.5001,48
75,38,582,2.1939,15612.0865,1330.0418,99
90,44,691,2.1517,23612.5277,1725.0988,118
105,51,792,2.4603,26370.1076,2165.9904,173
