time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,84,0.6693,875.0042,57.6675,4
30,16,218,0.8161,1770.8172,149.2363,18
45,24,347,1.0797,2773.1273,313.3299,38
60,31,462,1.3756,6050.0019,592.2542,58
75,38,585,1.5269,7402.2068,822.4027,86
90,44,707,1.9192,9803.5052,1224.9023,114
105,51,816,2.0953,13915.4121,1648.9186,153
