time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,95,0.841,793.5508,60.01,4
30,16,218,0.9088,2651.132,158.8162,15
45,24,350,0.8692,4306.5851,305.4188,24
60,31,460,1.2514,8533.2317,590.2626,35
75,38,591,1.3368,9048.3313,788.1048,60
90,44,726,2.127,16598.3355,1502.3348,106
105,51,780,1.6005,14710.5179,1296.4742,94
