time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.8332,587.5775,50.4436,6
30,16,200,0.7283,1936.1964,117.2302,8
45,24,342,1.0844,4663.3233,341.2761,32
60,31,462,1.3961,9300.8369,649.5203,62
75,38,593,1.734,13034.9751,999.0985,80
90,44,692,1.9911,17650.539,1403.8395,110
105,51,817,2.2183,26887.5644,1950.2195,160
