time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.8454,550.0216,52.191,6
30,16,208,0.6081,1539.3106,94.3638,7
45,24,345,0.7122,2449.968,183.6573,15
60,31,458,0.9595,4380.3299,334.211,31
75,38,580,1.1606,5619.4394,529.3862,50
90,44,694,1.229,6985.9131,680.7992,59
105,51,816,1.2628,10484.2697,933.659,91
