time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,99,0.8781,465.3271,50.3609,6
30,16,208,0.6497,771.9173,81.05,11
45,24,345,0.7508,2631.9211,200.1071,20
60,31,458,1.0032,3559.735,321.5981,38
75,38,580,1.1789,5140.6001,521.0429,57
90,44,694,1.2651,7141.5428,714.4382,76
105,51,816,1.3099,9736.5103,940.9434,104
