time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,84,0.5525,2744.1353,126.6656,2
30,16,218,0.6764,5139.9277,286.2264,12
45,24,347,0.7301,11690.5093,599.4639,24
60,31,462,0.9261,21988.2225,1089.2277,45
75,38,585,0.9785,31447.4012,1539.2963,68
90,44,707,1.1877,50502.8341,2505.1077,99
105,51,816,1.319,62920.056,3179.4038,119
