time,active_vehicles,tasks_generated,latency,energy,cost,missed_deadlines
15,9,93,0.7426,1711.3896,69.972,6
30,16,200,0.7069,2413.4676,124.5052,5
45,24,342,0.9423,5626.4319,316.8901,28
60,31,462,1.364,9505.2298,641.7861,57
75,38,593,1.73,12996.7401,1004.9518,81
90,44,692,2.0126,16439.1978,1384.1795,98
105,51,817,2.295,23341.5587,1931.186,146
